time,net_p,net_b,cpu,mem,reads,writes,bperp
1,31741,4353119,0.0,4.027286209489538,0,4096,137.14498598027788
2,21715,2968165,232.0,4.027286209489538,0,16384,136.68731291733823
3,22919,3265645,237.0,4.027286209489538,0,0,142.48636502465203
4,18503,3111351,252.0,4.027286209489538,0,0,168.15386694049613
5,20786,2993036,232.0,4.027286209489538,0,0,143.99287982295775
6,21322,2717327,225.0,4.027286209489538,0,0,127.44240690366757
7,27583,3454512,262.2,4.027286209489538,0,0,125.24061922198456
8,25144,3558063,259.0,4.027286209489538,0,16384,141.5074371619472
9,24176,3083410,232.0,4.027286209489538,0,0,127.5401224354732
10,20986,2802190,227.3,4.027286209489538,0,0,133.52663680548937
11,23344,3330345,236.0,4.027286209489538,0,16384,142.66385366689514
12,49873,4505178,249.9,4.027286209489538,0,0,90.33300583482044
13,22204,2530865,207.2,4.027286209489538,0,0,113.98239056025942
14,15665,2902935,228.3,4.027286209489538,0,0,185.31343759974465
15,22613,3136472,240.0,4.027286209489538,0,0,138.7021624729138
16,23329,3100305,237.0,4.027286209489538,0,0,132.89489476617086
17,23327,3116460,234.0,4.027286209489538,0,0,133.5988339692202
18,21439,2802194,231.0,4.027286209489538,0,0,130.70544335090256
19,22967,3005865,237.0,4.027286209489538,0,0,130.8775634606174
20,23870,2982837,249.1,4.027304425717623,0,0,124.96175115207373
21,28969,4049364,289.9,4.0273165698696785,0,0,139.78266422727742
22,23084,3080324,234.1,4.027322641945707,0,0,133.43978513255934
23,21172,2580141,207.2,4.027322641945707,0,0,121.8657188739845
24,24670,3218253,234.0,4.027322641945707,0,32768,130.45208755573572
25,22995,3376219,250.1,4.027322641945707,0,0,146.8240487062405
26,24379,3650710,246.9,4.027322641945707,0,0,149.7481438943353
27,22898,3204541,240.9,4.027322641945707,0,0,139.94851078696828
28,20408,3062402,241.9,4.027322641945707,0,0,150.05889847118777
29,21808,3066333,240.0,4.027322641945707,0,0,140.6058785766691
30,22301,2920520,233.2,4.027322641945707,0,0,130.9591498139097
31,27755,3314608,265.8,4.027322641945707,0,4096,119.42381552873356
32,23893,3130309,230.0,4.027322641945707,0,0,131.01364416356256
33,21350,2747074,229.0,4.027322641945707,0,0,128.66857142857143
34,23031,3112513,241.0,4.027322641945707,0,0,135.14450089010464
35,23868,2969062,237.0,4.027322641945707,0,0,124.39508965979554
36,22487,3170916,244.9,4.027322641945707,0,0,141.01107306443723
37,25391,3621082,255.9,4.027322641945707,0,0,142.61281556457013
38,26446,3241537,235.0,4.027322641945707,0,16384,122.57192013915147
39,25004,3671833,257.9,4.027322641945707,0,0,146.8498240281555
40,27359,3656343,266.0,4.027322641945707,0,0,133.64315216199424
41,25523,3443559,257.0,4.027322641945707,0,16384,134.9198370097559
42,22685,3043076,243.0,4.027322641945707,0,0,134.14485342737493
43,22595,3166796,245.9,4.027322641945707,0,0,140.15472449657003
44,23897,3156978,238.9,4.027322641945707,0,0,132.10771226513788
45,24031,3494088,256.9,4.027322641945707,0,0,145.399192709417
46,23857,3108906,241.0,4.027334786097763,0,0,130.31420547428428
47,24150,3202596,243.1,4.027334786097763,0,0,132.6126708074534
48,37909,4327099,260.0,4.027334786097763,0,0,114.14437204885384
49,26698,3570351,248.2,4.027334786097763,0,0,133.7310285414638
50,25541,3056378,233.0,4.027334786097763,0,0,119.66555733918014
51,25255,3368369,247.0,4.027334786097763,0,0,133.37434171451198
52,22922,3270580,248.0,4.027334786097763,0,0,142.6830119535817
53,24772,3555413,254.1,4.027334786097763,0,0,143.5254723074439
54,25759,3495357,255.0,4.027334786097763,0,20480,135.6945921813735
55,24591,3001155,236.0,4.027334786097763,0,0,122.0428205441015
56,25078,3304291,245.1,4.027334786097763,0,0,131.76054709306962
57,24166,2891187,228.0,4.027334786097763,0,0,119.63862451377969
58,24391,3322805,249.0,4.027334786097763,0,0,136.23078184576278
59,30131,3655151,254.9,4.027334786097763,0,0,121.30865221864525
