time,net_p,net_b,cpu,mem,reads,writes,bperp
1,19993,2769062,0.0,3.6485586834573334,0,81920,138.501575551443
2,17563,2108091,201.2,3.6485586834573334,0,0,120.03023401468997
3,18374,2113640,199.1,3.6485586834573334,0,4096,115.03428758027648
4,19046,2427731,211.1,3.648655836673785,0,0,127.46671217053449
5,19408,2308065,210.1,3.648655836673785,0,0,118.92338211046992
6,22466,2569748,214.0,3.648655836673785,0,65536,114.38386895753584
7,18929,2535652,223.0,3.648667980825841,0,0,133.95594062021237
8,22036,2817956,232.2,3.648667980825841,0,229376,127.87965147939735
9,18040,2327451,211.1,3.648667980825841,0,0,129.01613082039913
10,27859,2847040,217.0,3.648667980825841,0,0,102.1946229225744
11,17638,2308922,207.1,3.648667980825841,0,81920,130.9061118040594
12,22264,2695512,228.0,3.648667980825841,0,0,121.0704275961193
13,20189,2679656,227.2,3.648667980825841,0,0,132.72851552825796
14,21182,2562669,219.1,3.648667980825841,0,16384,120.9833349069965
15,17149,2087384,194.4,3.648667980825841,0,0,121.72045017202169
16,30089,2804154,210.1,3.6486801249778975,0,81920,93.19532054903786
17,33139,3316412,228.0,3.6486801249778975,0,0,100.07580192522406
18,21117,2517210,217.0,3.6486801249778975,0,0,119.20301179144765
19,22249,2471067,210.2,3.6486801249778975,0,0,111.06418265989483
20,20089,2384043,211.1,3.6486801249778975,0,0,118.67405047538453
21,19371,2112339,195.1,3.6486801249778975,0,94208,109.04646120489392
22,23800,2533451,209.1,3.6486801249778975,0,0,106.44752100840336
23,31709,2887737,212.2,3.6486801249778975,0,0,91.06994859503611
24,20372,2709943,227.1,3.6486801249778975,0,0,133.0229236206558
25,19778,2643998,226.0,3.6486801249778975,0,0,133.6837900697745
26,19920,2409247,210.1,3.6486801249778975,0,118784,120.9461345381526
27,19159,2239845,203.1,3.6486801249778975,0,0,116.90824155749256
28,20128,2528345,217.2,3.6486801249778975,0,0,125.6133247217806
29,20345,2467557,214.0,3.6486801249778975,0,0,121.28567215532071
30,21003,2511402,214.3,3.6486801249778975,0,0,119.57348950149978
31,17653,2251131,209.1,3.6486801249778975,0,0,127.52115787684812
32,16879,2200601,207.1,3.6486801249778975,0,0,130.37508146217192
33,23328,2729812,224.1,3.6486801249778975,0,4096,117.01868998628258
34,19752,2296694,206.1,3.6486801249778975,0,0,116.27652895909274
35,27980,2977841,221.0,3.6486801249778975,0,0,106.42748391708363
36,17699,2378430,215.1,3.6486801249778975,0,0,134.38216848409516
37,23353,2992617,234.1,3.6486801249778975,0,282624,128.14700466749454
38,24265,3067608,245.0,3.6486801249778975,0,4096,126.42110035029879
39,21147,2337503,204.1,3.6486801249778975,0,0,110.53591525984773
40,22025,2495624,211.2,3.6486801249778975,0,0,113.30869466515324
41,21757,2713166,227.3,3.6486801249778975,0,0,124.70313002711771
42,18462,2261475,203.1,3.6486801249778975,0,0,122.49350016249593
43,18892,2271638,206.1,3.6486801249778975,0,0,120.24338344272708
44,23444,2741972,225.2,3.6486801249778975,0,16384,116.95836887903089
45,17357,2269120,209.1,3.6486801249778975,0,0,130.73226940139426
46,20867,2372633,206.1,3.6486801249778975,0,0,113.70264053289884
47,18872,2156930,203.1,3.6486801249778975,0,0,114.29260279779568
48,18036,2103831,195.2,3.6486801249778975,0,0,116.64620758483034
49,20517,2561946,223.1,3.6486801249778975,0,0,124.86942535458401
50,19201,2284007,210.1,3.6486801249778975,0,0,118.95250247382948
51,19714,2512165,219.0,3.6486801249778975,0,0,127.43050623922086
52,19733,2534561,219.1,3.6486801249778975,0,0,128.44276085744693
53,20049,2437198,211.1,3.6486801249778975,0,0,121.5620729213427
54,18525,2186519,204.3,3.6486801249778975,0,0,118.03071524966262
55,21502,2423489,206.1,3.6485768996854175,0,0,112.70993395963166
56,16099,1930471,196.1,3.6485768996854175,0,32768,119.91247903596496
57,24628,3279758,249.9,3.6485768996854175,0,0,133.17191814195226
58,21970,2671009,219.2,3.6485768996854175,0,0,121.57528447883477
59,20765,2584447,219.0,3.6485768996854175,0,0,124.4616903443294
