time,net_p,net_b,cpu,mem,reads,writes,bperp
1,15733,1476445,0.0,3.0017611449312254,0,0,93.84383143710672
2,13968,1405958,114.6,3.0017672170072536,0,0,100.65564146620848
3,15971,1650176,127.5,3.001773289083282,0,0,103.32327343309748
4,16668,1768919,132.5,3.001785433235338,0,0,106.12664986801056
5,15911,1662227,133.5,3.0017915053113664,0,65536,104.47030356357237
6,17310,1796040,127.6,3.0017915053113664,0,0,103.75736568457539
7,17722,1702139,135.6,3.0017915053113664,0,0,96.0466651619456
8,16295,1555497,119.5,3.003837794932877,0,0,95.45854556612458
9,15551,1615773,129.6,3.003837794932877,0,0,103.90154973956659
10,15361,1399160,115.6,3.003856011160962,0,98304,91.08521580626261
11,18014,1873564,139.5,3.003856011160962,0,0,104.00599533696014
12,19410,1868173,127.5,3.003856011160962,0,0,96.2479649665121
13,17448,1696294,128.5,3.0038620832369896,0,0,97.2199679046309
14,19100,1911757,148.5,3.0038620832369896,0,0,100.0919895287958
15,16301,1600920,119.6,3.0038620832369896,0,81920,98.20992577142506
16,15349,1556058,126.6,3.0038620832369896,0,0,101.37846113753339
17,17710,1620618,130.6,3.0038620832369896,0,16384,91.50863918690006
18,17532,1673787,124.5,3.004772894641223,0,0,95.47039698836413
19,20463,2069517,145.5,3.004772894641223,0,0,101.134584371793
20,16083,1494338,112.6,3.004778966717251,0,81920,92.91413293539763
21,15891,1518625,129.5,3.0078939417197286,0,0,95.56509974199233
22,17346,1705422,127.5,3.0079000137957568,0,4096,98.31788308543757
23,16929,1704432,123.7,3.0079000137957568,0,0,100.68119794435584
24,17195,1857230,134.6,3.0079000137957568,0,0,108.00988659494038
25,16891,1721458,128.6,3.0079000137957568,0,49152,101.91569474868272
26,18008,1795021,129.7,3.0079000137957568,0,0,99.67908707241226
27,17764,1999855,136.6,3.007912157947813,0,12288,112.57909254672371
28,18751,1799768,134.6,3.0079182300238414,0,278528,95.98250759959468
29,17080,1739338,129.6,3.007936446251926,0,0,101.8347775175644
30,17529,1821098,144.5,3.007936446251926,0,0,103.89058132238006
31,17588,1602371,121.6,3.007936446251926,0,0,91.10592449397316
32,17269,1793435,134.6,3.007936446251926,0,0,103.85285772192947
33,18507,1978417,152.4,3.007936446251926,0,0,106.90101042848652
34,19931,2127053,143.5,3.007936446251926,0,0,106.72083688726104
35,29663,2649094,147.5,3.0079546624800106,0,0,89.30634123318612
36,20274,1920479,134.5,3.0079546624800106,0,0,94.72620104567426
37,14738,1467493,126.5,3.0079728787080953,0,8192,99.57205862396526
38,15430,1518613,126.5,3.0079728787080953,0,0,98.41950745301361
39,18085,1742086,123.5,3.0079728787080953,0,0,96.3276748686757
40,18094,1729639,134.5,3.007978950784124,0,0,95.59185365314468
41,16850,1566674,116.6,3.007978950784124,0,0,92.97768545994066
42,17214,1545259,120.6,3.00799109493618,0,4096,89.76757290577437
43,17864,1881281,148.4,3.0079971670122085,0,0,105.31129646215854
44,17347,1840516,135.5,3.0079971670122085,0,0,106.09995964720125
45,17543,1796607,128.6,3.0079971670122085,0,0,102.4116171692413
46,19042,1701741,124.6,3.0079971670122085,0,0,89.36776599096734
47,18437,1836494,131.6,3.0080032390882363,0,16384,99.6091555025221
48,16231,1734393,131.7,3.0102013306104523,0,0,106.85681720165117
49,16201,1735802,128.5,3.0102013306104523,0,0,107.14165792235048
50,15701,1536123,126.6,3.0102013306104523,0,0,97.83599770715242
51,16914,1686779,125.6,3.0102013306104523,0,0,99.72679437152655
52,18619,1964063,135.5,3.010213474762509,0,4096,105.48702937859176
53,18830,1989363,135.6,3.0101163215460573,0,0,105.64859267126926
54,21193,2038207,136.5,3.0101163215460573,0,0,96.17359505497097
55,16126,1627425,122.5,3.0101163215460573,0,0,100.91932283269254
56,10217,1099006,126.5,3.0101223936220856,0,0,107.5664089262993
57,5637,871671,146.5,3.012539079881318,0,36864,154.6338477913784
58,21909,2025605,137.5,3.01287304406287,0,90112,92.45538363229723
59,18566,1977614,140.5,3.0160001632174036,0,0,106.51804373586126
