time,net_p,net_b,cpu,mem,reads,writes,bperp
1,18394,2475141,0.0,3.7385164898154284,0,237568,134.56241165597478
2,30311,3424071,257.9,3.7385164898154284,0,0,112.96463330144172
3,21390,2990567,219.0,3.7385164898154284,0,0,139.81145395044413
4,28957,3503531,260.2,3.7385164898154284,0,16384,120.99081396553511
5,21811,2935315,225.2,3.7385164898154284,0,0,134.5795699417725
6,21091,2567446,211.1,3.7385164898154284,0,0,121.73182874211749
7,31968,3960915,279.9,3.7385164898154284,0,0,123.90249624624624
8,22895,2903582,229.2,3.7385164898154284,0,0,126.82166411880323
9,18069,2659420,209.1,3.7385164898154284,0,0,147.18136034091538
10,32234,3626199,268.0,3.7385164898154284,0,0,112.49609108394863
11,19218,2594269,217.3,3.7385164898154284,0,0,134.99162243729836
12,20324,2707374,211.1,3.7385164898154284,0,0,133.21068687266285
13,28470,3765840,275.0,3.7385164898154284,0,0,132.27397260273972
14,21930,2997259,228.1,3.7385164898154284,0,0,136.67391700866392
15,22727,3263426,233.0,3.7385164898154284,0,0,143.5924671096053
16,19767,2556663,218.0,3.7385164898154284,0,0,129.33996054029444
17,26447,3809438,285.9,3.7385164898154284,0,0,144.04045827504063
18,22642,3219032,234.0,3.7385164898154284,0,0,142.17083296528574
19,24029,3172959,231.0,3.7385164898154284,0,8192,132.0470681260144
20,21004,2637399,219.2,3.7385164898154284,0,0,125.5665111407351
21,26477,3553008,259.9,3.7385164898154284,0,0,134.19224232352607
22,24380,3254736,253.1,3.7385164898154284,0,0,133.50024610336342
23,26073,3438559,251.9,3.7385164898154284,0,0,131.88198519541288
24,20311,2959888,218.0,3.7385164898154284,0,0,145.72832455319778
25,27283,3360801,255.9,3.7385164898154284,0,4096,123.18297108089287
26,22521,2775545,211.1,3.7385164898154284,0,0,123.24252919497359
27,23098,2773088,217.0,3.7385164898154284,0,0,120.05749415533812
28,19966,2697645,216.2,3.7385164898154284,0,0,135.11194029850745
29,19385,2653269,222.1,3.7385164898154284,0,0,136.8722723755481
30,27897,3761425,276.9,3.7385225618914566,0,0,134.83259848729253
31,22427,2879526,237.1,3.7385225618914566,0,8192,128.39550541757703
32,17697,2912899,219.0,3.7385225618914566,0,0,164.59846301633044
33,22216,3257411,236.0,3.7385225618914566,0,0,146.6245498739647
34,23915,3016817,222.0,3.7385225618914566,0,16384,126.14748066067322
35,27188,3287210,240.2,3.7385225618914566,0,0,120.9066499926438
36,28083,3626784,256.9,3.7385225618914566,0,0,129.1451767973507
37,20225,2683338,205.1,3.7385225618914566,0,0,132.67431396786156
38,28354,3571146,256.9,3.7385225618914566,0,0,125.9485786837836
39,24891,3237804,245.0,3.7385225618914566,0,0,130.07930577317103
40,22589,3004259,221.0,3.7385225618914566,0,0,132.99654699189873
41,18525,2499285,219.0,3.7385225618914566,0,0,134.91417004048583
42,25315,3226586,242.0,3.7385225618914566,0,0,127.45747580485877
43,28957,4487591,299.7,3.7385225618914566,0,0,154.9743067306696
44,21584,3073748,223.0,3.7385225618914566,0,0,142.40863602668642
45,24243,3356673,232.0,3.7385225618914566,0,0,138.4594728375201
46,23242,3090060,231.0,3.7385225618914566,0,0,132.95155322261422
47,28279,3932481,284.7,3.7385225618914566,0,0,139.06011527988966
48,21063,2922598,221.1,3.7385225618914566,0,0,138.7550681289465
49,24326,3038610,227.0,3.7385225618914566,0,8192,124.9120282824961
50,35812,4540065,292.1,3.7385225618914566,0,0,126.77496369931866
51,23244,2739176,221.3,3.7385225618914566,0,0,117.84443297194976
52,25775,3422331,244.2,3.7385225618914566,0,0,132.77714839961203
53,26034,3169728,228.0,3.7385225618914566,0,0,121.7533994007836
54,21787,2834588,223.0,3.7385225618914566,0,0,130.1045577638041
55,27960,3555482,256.9,3.7385225618914566,0,4096,127.16316165951359
56,23041,2852297,219.5,3.7385225618914566,0,0,123.79223992014235
57,21248,3459347,235.0,3.7385225618914566,0,0,162.80812311746988
58,19943,2763868,226.0,3.7385225618914566,0,32768,138.58837687409115
59,28272,3362723,258.9,3.7385225618914566,0,0,118.94181522354273
