time,net_p,net_b,cpu,mem,reads,writes,bperp
1,13441,1222434,0.0,2.8321073407027284,0,0,90.94814373930511
2,16659,1356577,158.3,2.83213770108287,0,0,81.43207875622787
3,13587,1221837,154.3,2.83213770108287,0,0,89.92691543387062
4,12406,1125931,151.4,2.83213770108287,0,0,90.75697243269386
5,13661,1207287,159.3,2.83213770108287,0,65536,88.37471634580191
6,13077,1249721,154.3,2.83213770108287,0,4096,95.5663378450715
7,15610,1360930,162.3,2.8321437731588976,0,0,87.18321588725176
8,12673,1236128,156.3,2.8321437731588976,0,8192,97.54028249033378
9,13155,1238731,158.3,2.8321437731588976,0,0,94.16427213987077
10,14049,1163078,153.3,2.8321498452349263,0,98304,82.78724464374689
11,14895,1243226,152.4,2.8321498452349263,0,0,83.46599530043639
12,13436,1148322,151.4,2.8321498452349263,0,0,85.46606132777612
13,16095,1453909,162.3,2.8321802056150673,0,20480,90.33296054675365
14,19441,1651724,167.3,2.8321802056150673,0,32768,84.96085592304922
15,14399,1313324,158.4,2.8321862776910955,0,81920,91.20938954094035
16,10833,981310,145.3,2.8321862776910955,0,0,90.58524877688544
17,17651,1726622,176.2,2.835325540997686,0,507904,97.82006685173644
18,13378,1041066,147.3,2.835331613073714,0,0,77.81925549409478
19,13760,1258319,159.3,2.8353437572257705,0,0,91.44760174418604
20,14977,1282266,155.3,2.8353498293017987,0,65536,85.61567737197035
21,13206,1274588,162.3,2.835361973453855,0,0,96.5158261396335
22,13191,1206818,155.3,2.835361973453855,0,0,91.48798423167311
23,12516,1284043,161.3,2.835392333833996,0,0,102.59212208373282
24,15000,1342553,162.3,2.8353984059100243,0,0,89.50353333333334
25,14325,1402338,164.3,2.8353984059100243,0,65536,97.89445026178011
26,15550,1433569,163.3,2.8353984059100243,0,0,92.19093247588424
27,14906,1326657,158.3,2.835416622138109,0,16384,89.00154300281766
28,14303,1298399,155.3,2.835416622138109,0,0,90.77808851289939
29,14640,1394582,160.3,2.8354226942141376,0,0,95.25833333333334
30,13625,1257060,158.3,2.8354469825182504,0,0,92.26128440366972
31,12765,1215912,156.3,2.835453054594278,0,0,95.2535840188014
32,12363,1154191,155.3,2.8354773428983915,0,0,93.35848903987706
33,13045,1391957,168.3,2.8354834149744197,0,0,106.70425450364124
34,12062,1087655,151.4,2.835519847430589,0,0,90.17202785607694
35,13959,1284646,161.3,2.8387805522577434,0,0,92.02994483845548
36,14254,1166027,149.3,2.838786624333772,0,4096,81.80349375613862
37,11546,1000141,148.4,2.838798768485828,0,0,86.62229343495584
38,11391,1207685,158.3,2.8388048405618567,0,0,106.02098147660433
39,14884,1442199,165.4,2.8388048405618567,0,0,96.89592851384036
40,13711,1276557,156.3,2.838816984713913,0,0,93.10458755743564
41,11102,1032499,148.3,2.838816984713913,0,0,93.00117096018735
42,13323,1230490,156.4,2.838847345094054,0,0,92.35832770397057
43,12871,1381700,159.4,2.838847345094054,0,0,107.34985626602439
44,19558,1639769,166.2,2.8388534171700823,0,61440,83.84134369567441
45,9921,1034986,146.4,2.8388534171700823,0,0,104.3227497228102
46,12107,1174147,155.3,2.8388837775502234,0,0,96.98083753200628
47,12137,1342879,165.3,2.838901993778308,0,286720,110.64340446568345
48,11676,1357665,166.3,2.8420108967047573,0,0,116.27826310380267
49,11610,1313695,172.4,2.8420473291609265,0,0,113.1520241171404
50,13254,1386355,167.3,2.845156232087376,0,0,104.59898898445752
51,14636,1367629,164.4,2.845162304163404,0,0,93.44281224378246
52,14190,1612683,176.2,2.845168376239432,0,0,113.6492600422833
53,11468,1253400,168.4,2.8481740538734015,0,0,109.29543076386467
54,12838,1197015,153.3,2.8481983421775143,0,0,93.23999065274965
55,12661,1325128,164.3,2.848210486329571,0,0,104.66219098017534
56,10950,1295726,165.3,2.8482469187857404,0,0,118.33114155251141
57,10003,986329,227.2,2.8768463968786615,0,16384,98.60331900429871
58,12145,1349031,198.2,2.888966260630991,0,0,111.07706875257307
59,14755,1602587,176.3,2.8722923398574953,0,0,108.61314808539478
