time,net_p,net_b,cpu,mem,reads,writes,bperp
1,3675,205800,0.0,8.211219836355124,0,0,56.0
2,25245,5374599,320.7,8.211219836355124,0,0,212.89756387403446
3,3530,197908,112.5,8.211219836355124,0,0,56.06458923512748
4,3560,199583,138.4,8.211219836355124,0,0,56.062640449438206
5,32966,5375957,286.9,8.211219836355124,0,0,163.0758053752351
6,3476,194870,115.5,8.211219836355124,0,0,56.061565017261216
7,8514,1290505,196.3,8.211219836355124,0,0,151.57446558609348
8,13017,3619889,231.1,8.211219836355124,0,8192,278.0893447030806
9,3229,181074,135.4,8.211219836355124,0,0,56.077423350882626
10,27307,4493119,265.8,8.211219836355124,0,0,164.54092357271028
11,3131,175578,132.4,8.211219836355124,0,0,56.07729160012776
12,3043,170659,114.5,8.211219836355124,0,0,56.082484390404204
13,27931,4845193,275.0,8.211219836355124,0,0,173.4700870001074
14,3391,190110,133.4,8.211219836355124,0,0,56.06310822766146
15,29019,4734110,273.8,8.211219836355124,0,8192,163.1382887073986
16,3499,196164,132.4,8.211219836355124,0,0,56.062875107173475
17,3554,199266,114.5,8.211219836355124,0,0,56.06809229037704
18,31475,5303588,285.7,8.211219836355124,0,0,168.5016044479746
19,3649,204572,131.4,8.211219836355124,0,0,56.06248287201973
20,3563,199751,116.5,8.211219836355124,0,0,56.062587706988495
21,33256,5730293,303.7,8.211219836355124,0,0,172.30854582631704
22,3360,188388,115.5,8.211219836355124,0,0,56.06785714285714
23,3410,207640,113.5,8.211219836355124,0,4096,60.89149560117302
24,32805,5192767,295.7,8.211219836355124,0,0,158.29193720469442
25,2962,166097,113.5,8.211219836355124,0,0,56.075962187711006
26,24832,4318469,277.8,8.211219836355124,0,16384,173.90741784793815
27,2894,162286,110.6,8.211219836355124,0,0,56.07671043538355
28,3476,194862,113.5,8.211219836355124,0,0,56.05926352128884
29,20765,3556879,260.8,8.211219836355124,0,0,171.292029857934
30,3384,189718,116.5,8.211219836355124,0,0,56.06323877068558
31,3159,176932,135.4,8.211219836355124,0,0,56.00886356441912
32,25211,5246199,292.8,8.211219836355124,0,0,208.09166633612313
33,3217,180394,114.5,8.211219836355124,0,0,56.07522536524713
34,29529,5261004,307.6,8.211219836355124,0,0,178.16397439804936
35,3436,192901,113.5,8.211219836355124,0,0,56.14115250291036
36,3678,206094,137.4,8.211219836355124,0,0,56.03425774877651
37,22961,4356168,271.8,8.211219836355124,0,0,189.7203083489395
38,3989,223612,139.4,8.211219836355124,0,8192,56.05715718225119
39,28971,4504844,265.8,8.211219836355124,0,0,155.49494321908114
40,3466,194308,117.5,8.211219836355124,0,0,56.06116560877092
41,3344,187478,134.4,8.211219836355124,0,0,56.063995215311
42,27173,5156708,291.7,8.211219836355124,0,0,189.77323078055423
43,3266,196689,133.4,8.211219836355124,0,0,60.223208818126146
44,3364,188596,115.5,8.211219836355124,0,0,56.063020214030914
45,26558,5129139,313.6,8.211219836355124,0,40960,193.1297160930793
46,4108,230270,117.5,8.211219836355124,0,0,56.054040895813046
47,25934,4138412,263.8,8.211219836355124,0,0,159.5747667155086
48,3502,226662,134.4,8.211219836355124,0,0,64.72358652198744
49,3404,190863,114.5,8.211219836355124,0,0,56.07021151586369
50,36816,5448448,297.7,8.211219836355124,0,0,147.99130812690134
51,3687,206700,115.5,8.211219836355124,0,0,56.06183889340927
52,3522,197258,116.5,8.211219836355124,0,0,56.00738216922203
53,24028,4500289,291.9,8.21123198050718,0,20480,187.29353254536375
54,3141,176146,113.5,8.21123198050718,0,0,56.07959248646928
55,3092,173358,137.4,8.21123198050718,0,0,56.066623544631305
56,21532,4460236,271.9,8.21123198050718,0,16384,207.14452907300762
57,3006,168583,113.5,8.21123198050718,0,0,56.08216899534265
58,25717,4864358,306.7,8.21123198050718,0,0,189.14951199595598
59,2955,165694,114.5,8.21123198050718,0,0,56.072419627749575
