time,net_p,net_b,cpu,mem,reads,writes,bperp
1,22363,2607898,0.0,6.162683546714181,0,0,116.61664356302822
2,9704,1097309,165.3,6.162683546714181,0,0,113.07800906842539
3,19248,2230874,206.1,6.162689618790209,0,0,115.90160016625104
4,14457,1701690,190.4,6.162689618790209,0,0,117.70699315210625
5,12528,1535142,181.2,6.162701762942266,0,0,122.53687739463602
6,9413,947851,161.3,6.162701762942266,0,0,100.69595240624668
7,18275,2386682,219.0,6.162701762942266,0,0,130.59819425444596
8,7313,893506,164.3,6.162701762942266,0,0,122.18050047859975
9,18771,2204863,207.1,6.162701762942266,0,0,117.46113686005008
10,10094,1039278,166.4,6.162701762942266,0,0,102.95997622349911
11,17462,2198954,211.1,6.162707835018294,0,0,125.92795785133433
12,9398,1041173,166.3,6.162707835018294,0,4096,110.78665673547563
13,20581,2466317,214.1,6.162707835018294,0,16384,119.83465332102425
14,12077,1677155,190.2,6.162713907094322,0,0,138.87182247246832
15,21799,2860594,233.1,6.162713907094322,0,0,131.22592779485296
16,11335,1293830,169.2,6.162713907094322,0,0,114.14468460520511
17,18158,2035096,205.1,6.16271997917035,0,0,112.07710100231303
18,9936,1044395,172.3,6.16271997917035,0,0,105.11221819645732
19,15484,2267335,223.0,6.1627321233224075,0,0,146.43083182640146
20,11229,1346900,176.2,6.162634970105955,0,0,119.94834802742898
21,13663,1937646,209.2,6.162634970105955,0,0,141.81702407963112
22,10107,899969,156.3,6.162634970105955,0,28672,89.04412783219551
23,14359,2057192,213.1,6.162641042181984,0,0,143.26847273487013
24,12501,1597370,188.1,6.162647114258012,0,81920,127.77937764978802
25,20464,2263852,210.2,6.162647114258012,0,0,110.62607505863956
26,7025,1018667,167.3,6.162647114258012,0,0,145.00597864768685
27,18872,2389184,222.0,6.162647114258012,0,0,126.59940652818992
28,10824,1161682,169.3,6.162659258410068,0,0,107.32464892830747
29,19131,2102657,204.1,6.162659258410068,0,0,109.9083686163818
30,10566,1211819,172.2,6.162665330486097,0,0,114.69042210865038
31,20184,2675111,222.0,6.162677474638153,0,0,132.5362168053904
32,10039,1089124,159.3,6.162677474638153,0,0,108.4892917621277
33,18949,2405715,223.0,6.162677474638153,0,0,126.95735922739986
34,9707,1213221,172.2,6.162677474638153,0,0,124.98413516019367
35,19815,2475102,224.0,6.162677474638153,0,0,124.910522331567
36,11078,1129156,170.2,6.162677474638153,0,0,101.92778479870013
37,15566,2087504,207.1,6.162677474638153,0,0,134.10664268277014
38,10548,1037874,169.3,6.162677474638153,0,0,98.39533560864619
39,18073,2204711,214.2,6.162683546714181,0,0,121.98921042438998
40,10298,1049880,166.3,6.162689618790209,0,0,101.94989318314236
41,20626,2506685,222.0,6.162689618790209,0,0,121.53035004363424
42,11201,1326017,179.2,6.162689618790209,0,4096,118.38380501740916
43,18961,2486482,224.0,6.162689618790209,0,16384,131.13664891092242
44,10005,1136719,175.2,6.162689618790209,0,0,113.61509245377312
45,21327,2644312,214.1,6.162689618790209,0,0,123.98893421484503
46,10379,1357518,191.1,6.162713907094322,0,0,130.79468156855188
47,10274,1354228,178.3,6.162713907094322,0,0,131.81117383686976
48,16244,1839780,197.3,6.162713907094322,0,0,113.25904949519823
49,5962,764926,163.3,6.162713907094322,0,0,128.30023482053002
50,20391,2721237,236.0,6.162726051246378,0,0,133.45284684419596
51,8292,1052906,167.2,6.1627321233224075,0,0,126.9785335262904
52,18468,2378562,225.0,6.1627321233224075,0,8192,128.7936972059779
53,11498,1271325,174.2,6.1627321233224075,0,0,110.56922943120543
54,16298,2039127,217.1,6.1627321233224075,0,90112,125.11516750521537
55,11414,1450661,179.3,6.1627321233224075,0,0,127.09488347643246
56,12701,1478071,191.2,6.1627321233224075,0,0,116.3743799700811
57,18337,2138974,207.9,6.1627321233224075,0,0,116.64797949501009
58,7663,1257327,186.3,6.1627321233224075,0,0,164.07764583061464
59,17987,2082093,208.1,6.162738195398435,0,0,115.7554344804581
