time,net_p,net_b,cpu,mem,reads,writes,bperp
1,13154,1428525,0.0,3.689751647232785,0,0,108.60004561350159
2,12715,1769403,182.2,3.689751647232785,0,16384,139.15871018482108
3,14279,1867319,190.2,3.689751647232785,0,32768,130.77379368303102
4,12917,1625074,177.2,3.689751647232785,0,0,125.8089339629945
5,13336,1641766,176.2,3.689751647232785,0,81920,123.10782843431313
6,11507,1297411,166.3,3.689751647232785,0,458752,112.74971756322239
7,10336,1297530,162.3,3.689751647232785,0,0,125.53502321981424
8,14704,1716832,178.2,3.689751647232785,0,0,116.75952121871599
9,15323,1776855,184.2,3.689751647232785,0,0,115.95999477909025
10,13985,1416751,164.2,3.689751647232785,0,65536,101.30504111548088
11,14141,1748653,181.3,3.689751647232785,0,0,123.65836928081465
12,10636,1145604,158.3,3.689751647232785,0,0,107.71004136893569
13,15437,1833956,182.2,3.689751647232785,0,0,118.8026170888126
14,14267,1579716,172.2,3.689751647232785,0,0,110.72516997266419
15,12905,1455739,173.2,3.689751647232785,0,81920,112.80426191398682
16,14211,1593851,171.3,3.689751647232785,0,0,112.15614664696362
17,11770,1156202,154.4,3.689751647232785,0,0,98.23296516567545
18,14708,1614692,175.4,3.689751647232785,0,0,109.78324721240142
19,10855,1379386,168.3,3.689751647232785,0,0,127.0737908797789
20,14289,1836379,188.2,3.689751647232785,0,16384,128.51697109664778
21,10653,1393030,172.3,3.689751647232785,0,0,130.76410400826057
22,14419,1614942,176.2,3.689751647232785,0,0,112.00097094111936
23,13421,1316297,158.3,3.689751647232785,0,0,98.07741598986662
24,14212,1718021,179.2,3.689751647232785,0,4096,120.88523782718829
25,15416,1573835,174.2,3.689751647232785,0,0,102.09100934094447
26,10804,1018854,148.3,3.689751647232785,0,0,94.3034061458719
27,14232,1494187,169.2,3.689751647232785,0,0,104.9878442945475
28,16139,1942801,190.2,3.689751647232785,0,0,120.37926761261541
29,10719,1248346,161.3,3.689751647232785,0,0,116.46105047112604
30,11615,1393420,164.3,3.689751647232785,0,0,119.96728368489023
31,16836,2016504,196.2,3.689751647232785,0,0,119.77334283677833
32,11997,1316262,161.3,3.689751647232785,0,16384,109.71592898224556
33,16332,1942292,190.2,3.689751647232785,0,24576,118.92554494244428
34,14726,1799818,188.2,3.689751647232785,0,0,122.22042645660736
35,16386,1892949,186.2,3.689751647232785,0,311296,115.52233614060783
36,11708,1188738,157.3,3.689751647232785,0,0,101.53211479330372
37,11624,1268060,165.2,3.689751647232785,0,0,109.08981417756367
38,15863,1862859,185.2,3.689751647232785,0,0,117.43421799155267
39,10503,997459,150.3,3.689751647232785,0,0,94.96896124916691
40,15577,1797590,181.2,3.689751647232785,0,0,115.40026962829813
41,10937,1082464,155.3,3.689751647232785,0,0,98.97266160738776
42,12786,1611550,177.2,3.689751647232785,0,0,126.04020021898953
43,12651,1519759,176.4,3.689751647232785,0,0,120.12955497589124
44,15886,2046916,196.1,3.689654494016333,0,0,128.8503084476898
45,10452,1144218,154.3,3.689654494016333,0,0,109.4735935706085
46,13820,1808111,191.1,3.689654494016333,0,0,130.83292329956583
47,10602,1014444,149.3,3.689654494016333,0,0,95.6842105263158
48,14602,1824177,184.2,3.689654494016333,0,0,124.92651691549104
49,12524,1235974,163.4,3.689654494016333,0,0,98.68843819865857
50,9753,1022317,150.3,3.689654494016333,0,0,104.82077309545781
51,17128,1984882,189.1,3.689654494016333,0,0,115.8852171882298
52,9987,1300109,170.2,3.689654494016333,0,0,130.18013417442677
53,15728,1580251,172.2,3.689654494016333,0,0,100.47374109867752
54,10416,1663782,188.3,3.689654494016333,0,4096,159.7332949308756
55,15756,1725186,180.2,3.689654494016333,0,0,109.493907083016
56,12521,1331357,162.3,3.689654494016333,0,0,106.32992572478237
57,9874,1142964,156.3,3.689654494016333,0,0,115.75491188981162
58,14146,1552025,179.3,3.689654494016333,0,0,109.71476035628446
59,12760,1464362,169.2,3.689654494016333,0,0,114.76191222570533
