time,net_p,net_b,cpu,mem,reads,writes,bperp
1,42867,3287705,0.0,3.142633308785954,0,0,76.69547670702406
2,42893,3260366,147.4,3.142633308785954,0,0,76.01161028606066
3,45075,3373824,152.4,3.1458090045487137,0,4096,74.84911813643927
4,48681,3938630,175.3,3.1458090045487137,0,0,80.90692467287032
5,47871,3691434,157.5,3.1458090045487137,0,65536,77.11211380585323
6,47710,3757622,164.5,3.1458090045487137,0,0,78.75963110459023
7,48935,3730378,162.5,3.1458090045487137,0,0,76.23128640032697
8,48845,3779776,169.4,3.1458090045487137,0,0,77.38306889139113
9,45602,3369295,145.5,3.1458090045487137,0,0,73.88480768387352
10,46865,3828864,175.4,3.1458090045487137,0,90112,81.6998613037448
11,47613,3708990,166.5,3.1458090045487137,0,0,77.89868313275787
12,45953,3475488,155.4,3.1458090045487137,0,0,75.63136247905469
13,47164,3493605,151.4,3.1458090045487137,0,8192,74.07355186158935
14,49198,3616561,160.4,3.1458090045487137,0,0,73.51032562299281
15,49293,3733479,158.4,3.1458090045487137,0,98304,75.74055139675005
16,46319,3419180,146.4,3.1458090045487137,0,0,73.81808760983614
17,48561,3657012,163.4,3.1458090045487137,0,0,75.30759251251004
18,47636,3548521,163.4,3.1458090045487137,0,4096,74.49242169787556
19,47222,3532350,156.5,3.1458090045487137,0,0,74.80305789674304
20,46204,3496882,153.5,3.1458090045487137,0,81920,75.68353389316943
21,45050,3343505,148.5,3.1458090045487137,0,0,74.21764705882353
22,42134,3313829,158.5,3.1458090045487137,0,327680,78.64976028860303
23,42502,3442754,152.5,3.1458090045487137,0,0,81.00216460401863
24,36811,2862656,135.5,3.1458211487007697,0,0,77.76631985004482
25,41220,3232625,146.5,3.1458211487007697,0,49152,78.42370208636584
26,41722,3264879,146.5,3.1458211487007697,0,36864,78.25317578256076
27,44748,3185552,142.5,3.1458211487007697,0,0,71.18870117100205
28,45097,3496902,151.4,3.1458211487007697,0,0,77.54178770206444
29,48564,3607038,145.5,3.1458211487007697,0,0,74.27390659747961
30,49150,3587643,165.4,3.148930051627219,0,0,72.9937538148525
31,48539,3848622,165.4,3.148930051627219,0,0,79.28927254372772
32,49175,3810639,170.5,3.148930051627219,0,4096,77.49138790035587
33,47658,3397458,147.6,3.148930051627219,0,0,71.28830416719124
34,48967,3831682,160.4,3.148930051627219,0,0,78.25029101231442
35,51346,3893296,166.5,3.148930051627219,0,0,75.8247185759358
36,47462,3557421,164.4,3.148930051627219,0,0,74.953036113101
37,48207,3941271,175.4,3.1489361237032476,0,0,81.75723442653556
38,42858,3172859,143.5,3.1489361237032476,0,0,74.03189602874609
39,43996,3327775,152.5,3.148942195779276,0,0,75.6381261932903
40,43365,3197591,139.5,3.148942195779276,0,0,73.73667704369883
41,40945,3218969,149.5,3.148942195779276,0,0,78.6169007204787
42,41955,3014056,138.5,3.148942195779276,0,0,71.8402097485401
43,41581,3109104,136.5,3.148942195779276,0,0,74.77222770015152
44,41394,3115683,139.5,3.148942195779276,0,0,75.26895202203218
45,44217,3349451,147.4,3.148942195779276,0,16384,75.75029965850239
46,44154,3525158,159.4,3.148942195779276,0,0,79.83779499026136
47,45112,3595491,165.4,3.148942195779276,0,0,79.70143199148785
48,46145,3526637,151.4,3.148942195779276,0,0,76.42511648065879
49,46482,3619156,157.5,3.148942195779276,0,0,77.86145174476141
50,45735,3682440,165.4,3.148942195779276,0,0,80.51689078386356
51,46575,3423310,145.4,3.148942195779276,0,0,73.50101986044015
52,45903,3407894,148.4,3.148942195779276,0,245760,74.24120427858746
53,42494,3204075,142.5,3.148845042562824,0,0,75.4006447969125
54,41611,2976350,141.4,3.148845042562824,0,0,71.52796135637212
55,42920,3168528,152.4,3.148845042562824,0,0,73.82404473438956
56,40691,3039495,140.4,3.148845042562824,0,36864,74.69698459118725
57,40720,3110523,147.4,3.148845042562824,0,0,76.38808939096268
58,42592,3190882,141.4,3.148845042562824,0,0,74.91740232907588
59,43162,3185494,144.4,3.148845042562824,0,0,73.80320652425745
