time,net_p,net_b,cpu,mem,reads,writes,bperp
1,45869,3428628,0.0,3.1229719266065743,0,65536,74.74826135298349
2,45075,3388370,142.4,3.1229719266065743,0,0,75.17182473655019
3,44257,3504601,151.4,3.1231419447353646,0,4096,79.18749576338206
4,45006,3607831,147.4,3.1231419447353646,0,0,80.16333377771852
5,39815,2929641,138.5,3.1231419447353646,0,0,73.58133869144795
6,40874,3193121,141.5,3.1231419447353646,0,98304,78.1210794147869
7,39482,3099605,142.6,3.1231419447353646,0,0,78.50678790334837
8,42356,3086190,134.6,3.1231419447353646,0,0,72.86311266408538
9,42174,3263941,143.6,3.1231419447353646,0,0,77.39225589225589
10,42747,3575281,160.7,3.1231419447353646,0,0,83.63817343907175
11,41153,3191244,146.5,3.1231419447353646,0,81920,77.54584112944379
12,43654,3364796,144.4,3.1231419447353646,0,0,77.07875566958354
13,44178,3392565,146.4,3.1231419447353646,0,0,76.79308705690615
14,44506,3371850,148.4,3.1231419447353646,0,12288,75.7616950523525
15,46020,3493864,153.4,3.1231480168113923,0,16384,75.92055627987831
16,46382,3516266,152.4,3.1231480168113923,0,81920,75.81100426889742
17,45807,3543687,152.4,3.123154088887421,0,0,77.36125483004781
18,43905,3306898,146.4,3.123154088887421,0,0,75.31939414645257
19,45227,3432292,149.4,3.123160160963449,0,0,75.89033099697083
20,46364,3567210,153.4,3.123160160963449,0,0,76.93922008454835
21,47951,3730651,151.4,3.123160160963449,0,65536,77.80131801213739
22,47271,3654413,146.4,3.123160160963449,0,335872,77.3077150895898
23,45717,3561902,152.4,3.123166233039477,0,0,77.91198022617407
24,47547,3773667,156.4,3.123166233039477,0,0,79.36708940627169
25,46851,3436903,137.4,3.123166233039477,0,0,73.35815670956863
26,45028,3312789,138.4,3.123166233039477,0,86016,73.57175535222528
27,41357,3109956,135.4,3.123166233039477,0,0,75.19781415479846
28,44361,3451459,152.4,3.1262751359659267,0,0,77.80390433038029
29,42679,3103197,139.4,3.1262751359659267,0,0,72.71016190632395
30,41009,3234575,143.4,3.1262751359659267,0,0,78.87475919920017
31,42698,3213202,143.4,3.1262751359659267,0,0,75.25415710337721
32,42045,3299716,142.4,3.1262751359659267,0,4096,78.48058033059817
33,42494,3407902,151.4,3.1262751359659267,0,0,80.19725137666494
34,43058,3466750,147.4,3.1262751359659267,0,0,80.51349342746992
35,39914,3154800,144.4,3.1262751359659267,0,0,79.03993586210352
36,37869,2924855,138.5,3.1262751359659267,0,0,77.23612981594444
37,38686,3114532,140.5,3.1262751359659267,0,0,80.50798738561754
38,39840,2994731,139.4,3.126281208041955,0,0,75.16895080321285
39,40868,3256351,151.4,3.126281208041955,0,0,79.67972496819027
40,44114,3305943,140.5,3.126281208041955,0,0,74.94090311465747
41,42774,3308218,148.4,3.126281208041955,0,0,77.341796418385
42,43289,3218578,136.5,3.126281208041955,0,0,74.35094365774215
43,44451,3215026,140.4,3.126281208041955,0,0,72.32741670603586
44,44512,3314320,142.4,3.126281208041955,0,0,74.45902228612509
45,44954,3503991,150.4,3.126281208041955,0,16384,77.94614494816923
46,42949,3344045,149.5,3.126281208041955,0,0,77.86083494377051
47,42631,3370543,145.5,3.126281208041955,0,0,79.06319345077526
48,41836,3237561,142.4,3.126281208041955,0,0,77.38696338082035
49,40834,3398184,160.4,3.126281208041955,0,0,83.21947396777196
50,39852,2851195,125.5,3.126281208041955,0,0,71.54458998293687
51,46241,3539017,146.4,3.126281208041955,0,0,76.53417962414308
52,44438,3361894,142.4,3.126281208041955,0,196608,75.65358476979162
53,46217,3571331,154.4,3.1261901269015313,0,0,77.27310297076833
54,49225,3788986,159.4,3.1261901269015313,0,0,76.97279837480954
55,48947,3605010,143.4,3.1261901269015313,0,0,73.65129630007968
56,49505,3655874,148.4,3.1261901269015313,0,36864,73.84858095141905
57,47052,3694771,154.4,3.1261901269015313,0,0,78.52526991413755
58,47013,3585550,145.4,3.1261901269015313,0,0,76.26720268861804
59,43826,3258017,140.5,3.1261901269015313,0,0,74.33982111075618
