time,net_p,net_b,cpu,mem,reads,writes,bperp
1,161389,13201713,0.0,4.416743093863609,0,0,81.80057500820998
2,158942,12955442,300.9,4.416743093863609,0,466944,81.51050068578475
3,181746,14031458,299.9,4.416743093863609,0,0,77.20366885653604
4,205386,15528718,315.9,4.416743093863609,0,0,75.60748054882028
5,206806,15670860,330.8,4.416743093863609,0,102400,75.77565447810991
6,165780,13279219,307.9,4.416743093863609,0,0,80.10145373386416
7,133420,11755201,305.9,4.416743093863609,0,0,88.10673812022186
8,215452,16351561,324.8,4.416743093863609,0,0,75.89421773759352
9,239792,17806364,330.8,4.416743093863609,0,0,74.2575398678855
10,220988,16410673,325.2,4.416743093863609,0,65536,74.2604711568049
11,228590,16749972,323.1,4.416743093863609,0,20480,73.27517389212126
12,236276,17746811,345.9,4.416743093863609,0,0,75.1105105893108
13,231988,17582896,346.8,4.416743093863609,0,0,75.79226511716124
14,256549,18925770,363.7,4.416743093863609,0,0,73.77058573605822
15,199634,15314004,337.8,4.416743093863609,0,98304,76.71040003205867
16,238840,18222902,377.8,4.416743093863609,0,0,76.2975297270139
17,211005,16323509,343.8,4.416743093863609,0,0,77.36076870216345
18,191390,15164296,324.8,4.416743093863609,0,0,79.23243638643608
19,246796,18389828,357.7,4.416743093863609,0,0,74.5142871035187
20,209056,16126795,346.7,4.416743093863609,0,81920,77.14102919791826
21,202291,15697762,311.8,4.416743093863609,0,0,77.59990310987637
22,210477,15858926,321.8,4.416743093863609,0,0,75.34754866327437
23,250759,18787412,354.7,4.416743093863609,0,0,74.92218424862119
24,209082,15939608,320.8,4.416743093863609,0,0,76.23615614926202
25,242329,18323453,369.6,4.416743093863609,0,163840,75.61395045578531
26,241410,18208212,338.8,4.416743093863609,0,0,75.42443146514229
27,253696,18893558,347.7,4.416743093863609,0,0,74.47321991675075
28,240439,18037121,356.7,4.416743093863609,0,0,75.01745141179259
29,206111,15664769,302.9,4.416743093863609,0,0,76.00161563429414
30,2153,120568,109.6,4.416743093863609,0,0,56.0
31,2535,163114,92.7,4.416743093863609,0,65536,64.3447731755424
32,2384,133716,107.6,4.416743093863609,0,532480,56.08892617449664
33,2479,139704,121.6,4.416743093863609,0,24576,56.35498184751916
34,184959,16622197,443.4,4.416743093863609,0,2457600,89.86963056677426
35,216682,16993610,340.8,4.416743093863609,0,12288,78.42649597105435
36,265465,19373599,349.7,4.416743093863609,0,0,72.97986175202004
37,246925,18209725,347.7,4.416743093863609,0,0,73.74597549863319
38,236176,17472391,334.8,4.416743093863609,0,0,73.98038327349096
39,217974,16764573,332.8,4.416743093863609,0,0,76.91088386688321
40,167422,12896862,291.9,4.416743093863609,0,0,77.0320626918804
41,208675,16043667,339.8,4.416743093863609,0,20480,76.8835126392716
42,198234,15402095,339.8,4.416743093863609,0,0,77.69653540764955
43,220611,16909109,343.8,4.416743093863609,0,0,76.64671752541804
44,227963,17054971,334.8,4.416743093863609,0,43556864,74.81464535911529
45,220367,16720876,326.8,4.416743093863609,0,0,75.8774045115648
46,203389,16124277,349.7,4.416743093863609,0,0,79.27801896857746
47,178382,13813482,302.9,4.416743093863609,0,0,77.43764505387315
48,161844,12869062,301.9,4.416743093863609,0,0,79.51522453720867
49,166363,13227687,307.9,4.416743093863609,0,30990336,79.51099102564874
50,181198,13855104,303.0,4.416743093863609,0,65200128,76.46389032991534
51,214625,16128446,331.8,4.416743093863609,0,10170368,75.14709842748981
52,179580,13496527,293.9,4.416743093863609,0,0,75.15606971823144
53,195251,14613984,316.8,4.416743093863609,0,0,74.8471659556161
54,203773,15604499,311.9,4.416743093863609,0,0,76.57785378828402
55,213052,15803374,320.8,4.416743093863609,0,0,74.17613540356345
56,202782,15339598,326.9,4.416743093863609,0,0,75.64575751299425
57,187970,14178423,303.1,4.416743093863609,0,0,75.42918018832792
58,198508,15111032,307.9,4.416743093863609,0,0,76.12303786245391
59,191778,15047247,326.8,4.416743093863609,0,0,78.46179958076526
