time,net_p,net_b,cpu,mem,reads,writes,bperp
1,42728,5023597,0.0,3.517286471803222,0,1601536,117.57154559071336
2,130668,10344084,252.1,3.517286471803222,0,0,79.16310037652677
3,134196,10417976,246.1,3.517286471803222,0,0,77.6325374824883
4,136951,10512325,248.1,3.517286471803222,0,0,76.75975348847398
5,142326,10953244,250.0,3.517286471803222,0,0,76.95884097072917
6,138439,10497145,244.2,3.517286471803222,0,0,75.82505652308959
7,134873,10511045,248.1,3.517286471803222,0,0,77.93290725349033
8,135335,10307595,244.1,3.517286471803222,0,0,76.16355709905051
9,128139,9880275,241.1,3.517286471803222,0,0,77.10591623159226
10,136775,10575017,253.1,3.517286471803222,0,0,77.3168853957229
11,132575,10096886,247.1,3.517286471803222,0,0,76.15980388459363
12,127681,9890429,279.0,3.517286471803222,0,0,77.46202645655971
13,117609,9284483,264.1,3.517286471803222,0,0,78.94364376875919
14,128403,9746028,270.0,3.517286471803222,0,0,75.9018714516016
15,129697,10046283,270.1,3.517286471803222,0,16384,77.45964054681296
16,118375,9307333,263.0,3.517286471803222,0,0,78.62583315733896
17,128031,9802050,269.0,3.517286471803222,0,16384,76.55997375635589
18,129710,9727065,267.0,3.517286471803222,0,0,74.9908642356025
19,126073,9946926,273.0,3.517286471803222,0,0,78.8981463120573
20,122219,9329952,261.0,3.517286471803222,0,0,76.33798345592747
21,134535,10175454,279.0,3.517286471803222,0,368640,75.63425131006801
22,130863,9919764,270.0,3.517286471803222,0,0,75.80266385456547
23,141164,10675711,286.0,3.517286471803222,0,0,75.62629990649174
24,145828,10779570,286.1,3.517286471803222,0,0,73.91975477960337
25,160412,12112621,299.0,3.517286471803222,0,12288,75.50944443059123
26,162466,11925959,307.9,3.517286471803222,0,0,73.40587569091379
27,160995,12342348,309.9,3.517286471803222,0,0,76.66292742010621
28,154410,11833281,315.9,3.517286471803222,0,0,76.63545754808626
29,139448,10597075,290.2,3.517286471803222,0,0,75.99302248866961
30,146431,11271453,303.9,3.517286471803222,0,11100160,76.97449993512302
31,145834,11262079,295.9,3.517286471803222,0,86540288,77.22533154134153
32,149644,11397607,300.3,3.517286471803222,0,52867072,76.16481115180028
33,163537,12112795,305.2,3.517286471803222,0,0,74.06761161082814
34,151174,11114491,288.2,3.517286471803222,0,0,73.52118089089393
35,147447,11081213,307.5,3.517286471803222,0,0,75.15387223883836
36,149848,11268590,303.4,3.517286471803222,0,0,75.20013613795312
37,145146,10962600,296.2,3.517286471803222,0,0,75.52808895870365
38,140881,10374279,279.2,3.517286471803222,0,0,73.6385956942384
39,151566,11104504,280.0,3.517286471803222,0,0,73.2651386194793
40,150709,11065949,293.0,3.517286471803222,0,0,73.42593342136169
41,138805,10640061,296.9,3.517286471803222,0,12288,76.65473866215194
42,141718,10649326,289.0,3.517286471803222,0,0,75.14448411634372
43,143723,10583024,297.2,3.517286471803222,0,0,73.63486707068458
44,138244,10189657,283.9,3.517286471803222,0,0,73.70777031914585
45,134030,10142833,267.2,3.517286471803222,0,0,75.67584122957547
46,131041,10114356,273.1,3.517286471803222,0,0,77.18466739417434
47,130023,9748890,289.2,3.517286471803222,0,16384,74.97819616529384
48,128252,9656184,277.2,3.517286471803222,0,0,75.29070891682001
49,135706,10046912,274.0,3.517286471803222,0,0,74.03439788955536
50,128305,9821405,270.0,3.517286471803222,0,0,76.54732863099646
51,133903,10031257,276.0,3.517286471803222,0,688128,74.91435591435591
52,141397,10691738,289.9,3.517286471803222,0,0,75.61502719293902
53,150868,11194899,301.9,3.517286471803222,0,0,74.20327040856908
54,148870,11176888,293.9,3.517286471803222,0,0,75.07817558944045
55,161720,11998148,294.9,3.517286471803222,0,36864,74.19087311402424
56,155355,11586175,294.9,3.517286471803222,0,0,74.57870683273792
57,162950,12552280,306.9,3.5171893185867704,0,0,77.0314820497085
58,140267,10663202,267.0,3.5171893185867704,0,0,76.02074614841695
59,134956,9834346,265.0,3.5171893185867704,0,0,72.87075787664128
