time,net_p,net_b,cpu,mem,reads,writes,bperp
1,205335,15443436,0.0,3.485620595316049,0,0,75.21092848272336
2,204604,15837906,317.8,3.485620595316049,0,0,77.40760688940588
3,177873,14260020,304.9,3.485620595316049,0,0,80.16967161963873
4,180497,14299043,300.9,3.485620595316049,0,0,79.22039147465055
5,232818,17543231,333.7,3.485620595316049,0,0,75.35169531565428
6,248079,18723707,355.7,3.485620595316049,0,16384,75.47477618016842
7,248180,18627112,355.7,3.485620595316049,0,0,75.05484728825853
8,217817,16969258,343.7,3.485626667392077,0,0,77.9060312096852
9,227785,17152368,333.7,3.485626667392077,0,0,75.30069144149088
10,229722,17145101,329.8,3.485626667392077,0,0,74.6341273365198
11,218119,16808253,324.8,3.4856327394681057,0,81920,77.06001311210852
12,206424,15853915,313.8,3.4856327394681057,0,0,76.80267313878231
13,199795,15563665,325.8,3.4856327394681057,0,16384,77.89817062489051
14,238910,18122639,342.7,3.4856327394681057,0,0,75.85550625758654
15,223625,17102890,336.7,3.4856327394681057,0,0,76.48022358859698
16,232950,17688908,333.8,3.4856327394681057,0,81920,75.93435501180511
17,250890,18691403,344.7,3.4856327394681057,0,294912,74.50039060943043
18,241557,18566016,337.8,3.4856327394681057,0,0,76.85977222767298
19,160905,13141047,301.9,3.4856327394681057,0,0,81.66960007457817
20,200733,15734786,311.9,3.4856327394681057,0,36864,78.38664295357515
21,239136,18296640,354.7,3.4856327394681057,0,81920,76.5114411882778
22,244918,18090100,339.8,3.4856327394681057,0,0,73.8618639707984
23,248034,18534130,347.7,3.4856327394681057,0,0,74.72415072127208
24,205930,16061929,326.8,3.4856327394681057,0,0,77.99703297236925
25,199356,15393154,312.8,3.485638811544134,0,0,77.2144003691888
26,206173,15665601,314.8,3.485638811544134,0,69632,75.98279600141629
27,206195,15536617,306.8,3.485638811544134,0,0,75.34914522660588
28,187788,14170064,291.9,3.485638811544134,0,0,75.45777152959721
29,196944,15122165,310.8,3.485638811544134,0,0,76.78408583150541
30,198254,15279694,303.9,3.485644883620162,0,0,77.07130247056806
31,224973,16674235,315.8,3.485644883620162,0,65536,74.11660510372356
32,228856,16946215,324.8,3.485644883620162,0,0,74.04750148565037
33,211552,15962257,313.8,3.485644883620162,0,0,75.4531131825745
34,225202,17087452,327.8,3.485644883620162,0,0,75.87611122458948
35,211327,15846477,333.7,3.485644883620162,0,0,74.98557685482687
36,239767,17615846,317.8,3.485644883620162,0,0,73.47068612444582
37,158886,12732358,291.9,3.485644883620162,0,0,80.13517868157044
38,230635,17623392,331.7,3.485644883620162,0,0,76.41247859171418
39,231041,17447751,340.7,3.485644883620162,0,0,75.51798598517146
40,249657,18873293,350.7,3.485644883620162,0,0,75.59689093436195
41,249340,18554495,342.7,3.485644883620162,0,0,74.41443410603995
42,251083,18790457,352.7,3.485644883620162,0,0,74.83763138085813
43,230572,17412711,334.8,3.485644883620162,0,16384,75.51962510625748
44,233503,17308714,323.8,3.485644883620162,0,0,74.12630244579299
45,203356,15703600,318.8,3.485644883620162,0,0,77.22221129447865
46,179630,13934480,297.9,3.485644883620162,0,0,77.57323386962089
47,225762,17258291,326.8,3.485644883620162,0,409600,76.44462309866142
48,244865,18493986,343.7,3.485644883620162,0,0,75.52727421232107
49,235811,17890924,348.7,3.485644883620162,0,0,75.86976010449047
50,240063,18060565,344.7,3.485644883620162,0,61440,75.23260560769465
51,219203,16199970,317.8,3.485644883620162,0,0,73.90396116841467
52,209987,15817255,311.8,3.485644883620162,0,0,75.32492487630186
53,194427,14875231,297.9,3.485644883620162,0,0,76.50805186522447
54,218153,17504209,332.7,3.485644883620162,0,0,80.2382227152503
55,194116,14880454,308.8,3.485644883620162,0,0,76.65753466999114
56,244364,18366315,349.7,3.485644883620162,0,4096,75.15965936062595
57,240693,18121376,341.7,3.485644883620162,0,0,75.28833825661735
58,239639,17878721,342.7,3.485644883620162,0,0,74.60689203343362
59,216542,16125861,307.9,3.4855477304037104,0,0,74.46989960377202
