time,net_p,net_b,cpu,mem,reads,writes,bperp
1,40711,3189967,0.0,2.6711001727384187,0,0,78.35639016482033
2,43357,3400258,159.3,2.674221219816925,0,81920,78.42466037779367
3,42731,3326245,158.4,2.6742758685011787,0,4096,77.84149680559781
4,45841,3557810,160.4,2.6742758685011787,0,0,77.61196308981043
5,46889,3591469,168.4,2.677421203883797,0,0,76.59512892149544
6,47543,3501611,156.4,2.6774333480358536,0,0,73.65145236943398
7,45869,3636993,167.4,2.677469780492023,0,81920,79.29087183064814
8,49811,3808014,162.4,2.677475852568051,0,0,76.4492581959808
9,46832,3613586,167.4,2.6774879967201075,0,0,77.16061667236077
10,45702,3478313,182.3,2.6806394041787542,0,0,76.10855104809417
11,45303,3427324,159.4,2.6806394041787542,0,0,75.65335628987043
12,43975,3362800,162.4,2.6806454762547824,0,81920,76.470722001137
13,42764,3335016,158.4,2.6806454762547824,0,0,77.98653072677953
14,40954,3205163,156.4,2.6806515483308107,0,0,78.2625140401426
15,40265,3210943,162.4,2.6806515483308107,0,0,79.74526263504283
16,41270,3004626,148.6,2.680663692482867,0,16384,72.80411921492609
17,39600,2989451,147.4,2.680663692482867,0,81920,75.49118686868687
18,41653,3191071,161.4,2.6806697645588953,0,0,76.61083235301179
19,39600,3010951,162.4,2.680718341167121,0,0,76.03411616161617
20,39421,3278698,161.4,2.680748701547262,0,0,83.17135536896578
21,38374,2897346,149.4,2.680748701547262,0,0,75.50284046489811
22,43735,3508232,166.4,2.680748701547262,0,372736,80.21566251286156
23,42200,3365368,164.4,2.68075477362329,0,0,79.74805687203792
24,41997,3249242,158.4,2.6807669177753466,0,0,77.36843107841037
25,43706,3288639,159.4,2.680772989851375,0,0,75.24456596348327
26,39877,2987192,149.4,2.680772989851375,0,36864,74.91014870727487
27,40426,3068722,156.4,2.68079120607946,0,32768,75.90961262553802
28,38780,2980738,150.4,2.68079120607946,0,0,76.86276431150077
29,40165,2951703,147.4,2.68079120607946,0,0,73.48943109672601
30,41827,3201774,156.4,2.68079120607946,0,0,76.54801922203362
31,43770,3357120,164.4,2.68079120607946,0,0,76.69910897875258
32,45331,3326283,156.4,2.68079120607946,0,0,73.37766649754032
33,45109,3298623,155.4,2.680797278155488,0,4096,73.12560686337538
34,47488,3607896,166.4,2.6808094223075445,0,0,75.97489892183289
35,47784,3578543,160.4,2.6839243973100215,0,0,74.88998409509459
36,44912,3412006,161.4,2.6839243973100215,0,0,75.9709209120057
37,43881,3509362,165.5,2.6839243973100215,0,0,79.97452200268908
38,46102,3777420,155.4,2.6839669018422194,0,0,81.93614159906295
39,49042,3704772,159.4,2.683985118070304,0,0,75.54284083030872
40,48317,3520122,148.4,2.683985118070304,0,0,72.85473021917751
41,51342,3968806,179.3,2.684015478450445,0,0,77.3013517198395
42,49607,3727698,165.4,2.684015478450445,0,0,75.14459652871571
43,48046,3660620,168.4,2.684015478450445,0,0,76.18990134454481
44,46692,3481029,157.4,2.6840276226025015,0,0,74.55300693909021
45,47041,3611505,171.3,2.6840519109066143,0,0,76.77355923556047
46,44596,3378170,157.4,2.6840519109066143,0,16384,75.75051574132209
47,43782,3375356,160.4,2.6840519109066143,0,0,77.09460508884929
48,45823,3550050,169.3,2.6840519109066143,0,0,77.47310302686424
49,44395,3433976,162.4,2.6840519109066143,0,0,77.35051244509516
50,45324,3689215,175.3,2.6840640550586707,0,0,81.39650075015444
51,49394,3517397,155.4,2.6840822712867554,0,0,71.21101753249383
52,44928,3402173,157.4,2.6840822712867554,0,212992,75.72500445156695
53,43456,3313571,158.4,2.683985118070304,0,0,76.25117360088365
54,41003,3409282,169.3,2.6839911901463323,0,0,83.1471355754457
55,37959,3034965,155.4,2.6839911901463323,0,0,79.9537659053189
56,40425,2937608,145.4,2.6839911901463323,0,57344,72.66810142238714
57,39901,3050109,151.4,2.6839911901463323,0,0,76.44191874890353
58,36843,2872590,145.4,2.6839911901463323,0,0,77.96840648155688
59,45051,3357301,160.4,2.6839911901463323,0,0,74.52223036114626
