time,net_p,net_b,cpu,mem,reads,writes,bperp
1,267186,19878930,0.0,4.884730137510663,0,0,74.40109137454807
2,251462,18668706,367.6,4.884730137510663,0,4096,74.24066459345747
3,250778,18372636,341.5,4.884730137510663,0,0,73.26255094147014
4,249152,18663246,365.4,4.884730137510663,0,0,74.90706877729258
5,265579,19882680,376.3,4.884730137510663,0,0,74.86540727994307
6,296518,22133833,426.2,4.884730137510663,0,0,74.64583263073405
7,279269,20619868,389.6,4.886163147453323,0,0,73.83514819045436
8,244868,18631687,361.7,4.886163147453323,0,0,76.08869676723786
9,228386,18069254,367.4,4.886163147453323,0,8192,79.11717005420647
10,270089,20016273,382.4,4.886163147453323,0,0,74.10991562040661
11,233394,17768006,335.6,4.886163147453323,0,0,76.12880365390713
12,288594,21142378,376.4,4.886163147453323,0,0,73.2599361040077
13,279678,20850092,371.3,4.886163147453323,0,0,74.55034718497701
14,267849,19997391,377.3,4.886163147453323,0,0,74.6591960395596
15,263977,19441375,385.3,4.886163147453323,0,0,73.64798827170549
16,263337,19754883,386.3,4.886163147453323,0,0,75.01749849052734
17,282047,20853035,381.3,4.886163147453323,0,0,73.93461018908197
18,243617,18313829,353.4,4.886163147453323,0,0,75.17467582311579
19,234407,17366987,334.5,4.886163147453323,0,0,74.08902891125265
20,253367,18830243,365.4,4.886163147453323,0,0,74.32002983813993
21,255624,18712809,354.7,4.886163147453323,0,0,73.20442916158107
22,232228,17446737,362.9,4.886163147453323,0,0,75.12762026973492
23,265862,19401168,375.4,4.886163147453323,0,0,72.97458079755663
24,218591,16606199,330.6,4.886163147453323,0,0,75.96927137896803
25,267630,19870524,365.4,4.886163147453323,0,0,74.24625042035646
26,278016,20353574,371.5,4.886163147453323,0,0,73.21008143416206
27,247364,18598656,368.5,4.886163147453323,0,0,75.18739994502029
28,272860,19884009,354.6,4.886163147453323,0,0,72.87256835006963
29,224979,17426888,344.6,4.886163147453323,0,16384,77.4600651616373
30,245619,18340985,354.6,4.886163147453323,0,0,74.67250090587454
31,231713,17551157,339.7,4.886163147453323,0,0,75.74524087988158
32,256355,18586783,335.6,4.886163147453323,0,4096,72.50407832887987
33,229031,17199073,329.5,4.886163147453323,0,0,75.0949565779305
34,241413,18401663,373.6,4.886163147453323,0,0,76.22482219267397
35,247628,18861719,366.8,4.886163147453323,0,0,76.16957290774872
36,274579,20156600,384.5,4.886163147453323,0,0,73.40910994649991
37,270287,20131672,371.4,4.886163147453323,0,0,74.48257592855002
38,254543,19153240,369.4,4.886163147453323,0,0,75.24559701111403
39,213522,16011759,325.9,4.886163147453323,0,40960,74.98880209065108
40,257416,19518390,387.6,4.886163147453323,0,0,75.8243077353389
41,260090,19243831,363.5,4.886163147453323,0,0,73.98912299588604
42,263025,19206782,353.6,4.886163147453323,0,0,73.02264803725882
43,269199,19666639,372.5,4.886163147453323,0,0,73.05613690986965
44,280647,22602369,409.4,4.886163147453323,0,0,80.5366492426429
45,265440,19398060,356.6,4.886163147453323,0,0,73.07888788426763
46,264106,19624839,353.5,4.886163147453323,0,0,74.30667610732054
47,268539,19859858,366.7,4.886163147453323,0,0,73.95520948540063
48,238891,18046374,350.5,4.886163147453323,0,0,75.54229334717508
49,261117,19684537,363.5,4.886163147453323,0,0,75.38588831826345
50,239320,17541655,331.7,4.886163147453323,0,0,73.29790656861107
51,241059,18014370,352.5,4.886163147453323,0,0,74.73012830883725
52,253533,18711396,361.5,4.886163147453323,0,0,73.8026055779721
53,265798,19939685,382.5,4.886163147453323,0,0,75.0181905055719
54,266538,19843006,373.4,4.886163147453323,0,0,74.44719327075313
55,249400,20095408,394.3,4.886163147453323,0,0,80.57501202886928
56,281532,21288754,416.2,4.886163147453323,0,0,75.61752838043277
57,250868,18874412,347.5,4.886163147453323,0,0,75.23642712502192
58,258404,19620454,372.3,4.886163147453323,0,0,75.92937415829476
59,262141,19358681,361.4,4.886163147453323,0,16384,73.84835260413288
